Index,Instance,Dim,Groups,Veh,Gurobi_Time,Gurobi_Dist,AILS_Avg_Dist,AILS_Best_Dist,AILS_Avg_Time,AILS_Std_Dev,ILS_Avg_Dist,ILS_Best_Dist,ILS_Avg_Time,ILS_Std_Dev
1,burma14_GVRP_Spatial,14,4,2,0.1,14.17,14.17,14.17,1.2,0,14.17,14.17,1.2,0
2,ulysses16_GVRP_Spatial,16,4,2,0.1,41.65,41.65,41.65,1.27,0,41.65,41.65,1.37,0
3,ulysses22_GVRP_Spatial,22,4,2,0.13,41.65,41.65,41.65,1.87,0,41.65,41.65,2.02,0
4,bayg29_GVRP_Spatial,29,4,2,0.51,2676.58,2676.58,2676.58,3.98,0,2676.58,2676.58,3.98,0
5,bays29_GVRP_Spatial,29,4,2,0.5,2676.58,2676.58,2676.58,3.94,0,2676.58,2676.58,3.98,0
6,dantzig42_GVRP_Spatial,42,9,2,999.88,265.53,265.53,265.53,10.96,0,265.53,265.53,10.14,0
7,att48_GVRP_Spatial,48,13,2,7200.13,13176.11,13176.11,13176.11,10.35,0,13176.11,13176.11,10.38,0
8,eil51_GVRP_Spatial,51,9,2,7200.15,123.62,123.62,123.62,66.03,0,124.2,123.62,35.15,0.5
9,berlin52_GVRP_Spatial,52,8,2,3604.49,2840.51,2840.51,2840.51,17.71,0,2840.51,2840.51,24.85,0
10,st70_GVRP_Spatial,70,16,2,7200.5,235.9,233.8,233.8,99.37,0,233.8,233.8,190.95,0
11,eil76_GVRP_Spatial,76,16,2,7200.09,150.95,150.95,150.95,41.23,0,150.95,150.95,42,0
12,pr76_GVRP_Spatial,76,15,2,7200.11,31902.65,31875.73,31875.73,31.9,0,31875.73,31875.73,32.2,0
13,gr96_GVRP_Spatial,96,22,2,7200.51,212.31,211.92,211.92,297.21,0,211.92,211.92,257.35,0
14,rat99_GVRP_Spatial,99,16,2,7200.44,286.05,286.05,286.05,58.17,0,286.05,286.05,57.69,0
15,kroA100_GVRP_Spatial,100,16,4,7200.51,4366.51,4366.51,4366.51,77.06,0,4366.51,4366.51,76.48,0
16,kroB100_GVRP_Spatial,100,16,4,7201.02,4344.86,4344.86,4344.86,82.45,0,4344.86,4344.86,84.13,0
17,kroC100_GVRP_Spatial,100,16,4,7200.66,4398.88,4398.88,4398.88,76.68,0,4398.88,4398.88,467.95,0
18,kroD100_GVRP_Spatial,100,16,4,7200.75,4408.49,4408.49,4408.49,132.15,0,4408.49,4408.49,136.8,0
19,kroE100_GVRP_Spatial,100,16,4,7200.38,4933.78,4933.78,4933.78,97.6,0,4933.78,4933.78,97.09,0
20,rd100_GVRP_Spatial,100,16,4,7200.37,1476.05,1476.05,1476.05,74.6,0,1476.05,1476.05,203.16,0
21,eil101_GVRP_Spatial,101,16,4,7200.4,97.27,97.27,97.27,218.07,0,97.27,97.27,219.16,0
22,lin105_GVRP_Spatial,105,20,4,7200.71,3758.03,3687.9,3687.9,812.03,0,3687.9,3687.9,345.71,0
23,pr107_GVRP_Spatial,107,18,4,7200.41,8285.79,8285.79,8285.79,1699.82,0,8285.79,8285.79,1504.96,0
24,gr120_GVRP_Spatial,120,28,4,7201.05,335.29,335.29,335.29,592.45,0,335.29,335.29,229.72,0
25,ch150_GVRP_Spatial,150,25,4,,,1106.94,1106.94,1338.96,0,1106.94,1106.94,1222.52,0
26,kroA150_GVRP_Spatial,150,25,4,,,5254.59,5254.59,1174.62,0,5263.61,5254.59,1163.08,19.01
27,kroB150_GVRP_Spatial,150,25,4,,,5030.3,5030.3,3613.93,0,5031.84,5030.3,3480.76,4.86
28,pr152_GVRP_Spatial,152,25,4,,,21571.14,21571.14,3468.08,0,21571.14,21571.14,3409.91,0
29,u159_GVRP_Spatial,159,31,4,,,7752.71,7752.71,2662.07,0,7752.82,7752.71,2691.85,0.34
30,rat195_GVRP_Spatial,195,36,4,,,360.79,360.79,425.42,0,361.42,360.79,1381.14,0.95
31,d198_GVRP_Spatial,198,35,4,,,5466.69,5466.69,1691.65,0,5500.46,5466.69,1504.3,59.54
32,kroA200_GVRP_Spatial,200,35,4,,,5317.04,5317.04,1872.9,0,5319.04,5317.04,2299.54,4.21
33,kroB200_GVRP_Spatial,200,36,4,,,5213.8,5213.8,719.67,0,5213.8,5213.8,2243.42,0
34,gr202_GVRP_Spatial,202,37,4,,,130.59,130.59,6703.48,0,134.94,130.59,6782.96,5.46
35,ts225_GVRP_Spatial,225,55,4,,,23372.78,23319.94,1490.71,80.22,23538.57,23473.24,2340.53,117.1
36,tsp225_GVRP_Spatial,225,55,4,,,668.78,668.78,418.58,0,668.78,668.78,576.16,0
37,pr226_GVRP_Spatial,226,40,4,,,23067.45,23067.45,2036.41,0,23067.45,23067.45,2845.03,0
38,gr229_GVRP_Spatial,229,39,4,,,423.73,423.73,787.35,0,423.73,423.73,720.55,0
39,gil262_GVRP_Spatial,262,49,4,,,358.8,358.59,608.74,0.23,359.46,358.59,349.84,0.78
40,pr264_GVRP_Spatial,264,47,4,,,9597.85,9597.85,620.42,0,9597.85,9597.85,587.97,0
41,a280_GVRP_Spatial,280,47,4,,,408.01,407.76,650.59,0.41,410.62,407.76,491.54,4.19
42,pr299_GVRP_Spatial,299,69,4,,,9482.65,9482.61,3324.36,0.13,9509.3,9482.61,3432.18,18.81
43,lin318_GVRP_Spatial,318,79,4,,,8050.84,8047.53,4419.54,3.62,8159.07,8108.61,4005.58,59
44,linhp318_GVRP_Spatial,318,79,4,,,8050.84,8047.53,4475.55,3.62,8173.68,8108.61,4056.05,66.56
45,rd400_GVRP_Spatial,400,99,4,,,2221.68,2218.83,2872.41,9.02,2260.31,2221.56,3781.36,34.52
46,fl417_GVRP_Spatial,417,75,4,,,3250.39,3250.39,6562.51,0,3356.69,3250.39,6809.97,122.11
47,gr431_GVRP_Spatial,431,71,4,,,481.56,481.55,2983.15,0.02,481.66,481.55,2617.61,0.13
48,pr439_GVRP_Spatial,439,78,4,,,21532.17,21532.17,6561.48,0,21888.96,21532.17,6845.84,502.04
49,pcb442_GVRP_Spatial,442,79,4,,,6545.33,6541.74,1290.67,11.37,6623.65,6541.74,878.83,66.9
50,d493_GVRP_Spatial,493,86,4,,,7206.55,7195.15,3083.2,20.1,7241.8,7195.15,2727.79,37.24
51,att532_GVRP_Spatial,532,90,6,,,11745.75,11677.97,2598.27,36.47,11844.63,11767.18,3361.86,50.39
52,ali535_GVRP_Spatial,535,100,6,,,433.96,430.44,4634.41,2.39,435.46,430.44,4199.49,3.2
53,pa561_GVRP_Spatial,561,101,6,,,1518.49,1518.4,1661.46,0.05,1528.87,1518.51,1559,11.2
54,u574_GVRP_Spatial,574,143,6,,,4160.71,4155.63,2408.68,10.51,4243.87,4164.5,3567.85,74.33
55,rat575_GVRP_Spatial,575,100,6,,,627.51,626.39,2030.34,1.61,631.69,626.39,2142.78,6.25
56,p654_GVRP_Spatial,654,101,6,,,7212.44,7212.44,4866.14,0,7212.44,7212.44,5396.73,0
57,d657_GVRP_Spatial,657,137,6,,,6022.08,6019.07,6101.92,6.29,6135.26,6020.92,5041.52,110.07
58,gr666_GVRP_Spatial,666,116,6,,,507.22,504.35,5639.91,1.36,507.83,501.85,5584.15,4.54
59,u724_GVRP_Spatial,724,141,6,,,3778.54,3762.11,6615.95,20.66,3823.27,3745.49,3682.91,59.54
60,rat783_GVRP_Spatial,783,144,6,,,765.21,763.41,2536.76,1.34,775.9,762.22,2888.4,12.27
61,dsj1000_GVRP_Spatial,1000,194,8,,,1767700.1,1756508.69,3952.62,3932.26,1789207.55,1765319.56,5026.63,27764.05
62,pr1002_GVRP_Spatial,1002,167,8,,,18561.24,18400.65,4232.67,175.54,18725.14,18408.94,4639.43,215.1
63,u1060_GVRP_Spatial,1060,192,8,,,19134.44,19032.86,5907.85,90.63,19569.77,19382.23,5720.26,148.86
64,vm1084_GVRP_Spatial,1084,250,8,,,22862.78,22606.77,7200.16,259.69,23163.8,22666.04,6949.49,382.19
65,pcb1173_GVRP_Spatial,1173,224,8,,,4126.84,4108.49,5909.64,14.57,4269.44,4128.78,5536.82,90.45
66,d1291_GVRP_Spatial,1291,217,8,,,5343.03,5335.27,7200.1,6.77,5467.79,5378.6,7200.55,99.54
67,rl1304_GVRP_Spatial,1304,243,8,,,23516.36,23457.56,7200.12,61.97,24203.82,23490.54,7200.38,569.09
68,rl1323_GVRP_Spatial,1323,248,8,,,25046.92,24718.8,7200.13,410.9,25911.62,25369.03,7177.69,454.86
69,nrw1379_GVRP_Spatial,1379,274,8,,,3932.06,3915.91,6368.14,11.52,4054.05,3983.01,5963.46,69.75
70,fl1400_GVRP_Spatial,1400,169,8,,,3003.09,3001.74,7200.17,2.35,3017.44,3001.74,7200.33,15.69
71,u1432_GVRP_Spatial,1432,254,8,,,8340.98,8302.53,7110.1,33.21,8598.03,8446.88,6268.07,124.33
72,fl1577_GVRP_Spatial,1577,288,8,,,3071.19,3055.42,7200.17,11.72,3190.28,3082.25,7200.65,148.4
73,d1655_GVRP_Spatial,1655,294,8,,,5630.3,5579.26,7200.18,24.38,5794.82,5634.52,7200.54,132.28
74,vm1748_GVRP_Spatial,1748,368,8,,,29140.1,28748.42,7200.18,318.99,30186.39,29348.09,7200.51,925.09
75,u1817_GVRP_Spatial,1817,319,8,,,3721.41,3698.78,7200.18,18.4,3845.84,3755.54,7200.3,62.11
76,rl1889_GVRP_Spatial,1889,385,8,,,28555.21,28254.81,7200.3,152.01,29454.72,28603.68,7200.63,560.14
77,d2103_GVRP_Spatial,2103,362,8,,,6589.42,6558.01,7200.17,20.66,6779.05,6673.91,7200.46,83.34
78,u2152_GVRP_Spatial,2152,371,8,,,3854.22,3828.83,7200.16,18.42,4012.77,3930.99,7200.55,92.88
79,u2319_GVRP_Spatial,2319,441,8,,,9945.3,9888.52,7007.19,43.07,10421.09,10072.47,6824.65,225.6
80,pr2392_GVRP_Spatial,2392,410,8,,,23847.38,23718.01,7200.25,68.38,25182.04,24596.75,7200.64,509.37
81,pcb3038_GVRP_Spatial,3038,563,8,,,7793.9,7711.21,7200.27,78.28,8283.18,8074.3,7200.42,104.26
82,fl3795_GVRP_Spatial,3795,679,8,,,3762.68,3743.9,7201.08,13.45,3865.97,3760.81,7201.81,73.26
83,fnl4461_GVRP_Spatial,4461,874,8,,,10729.2,10497.17,7200.28,137.46,11214.2,11023.19,7200.99,133.43
